ayah_id,surah_number,ayah_number,ayah_key,safe_to_persist,annotation_count,issue_count,low_confidence_count,emitted_rule_codes,exception
49,2,43,2:43,True,8,2,0,alif_lam_syamsiah|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf,
50,2,44,2:44,False,16,2,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra|tarqiq_ra,
51,2,45,2:45,False,8,5,0,alif_lam_syamsiah|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|qalqalah_sugra|tarqiq_ra,
52,2,46,2:46,True,20,1,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|idgham_mimi|idgham_mutamatsilain|izhar_syafawi|mad_aridh_lissukun|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|tafkhim_ra,
53,2,47,2:47,True,18,1,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|tafkhim_ra,
54,2,48,2:48,True,28,2,0,ghunnah|idgham_bighunnah|idgham_bilaghunnah|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|qalqalah_sugra|tafkhim_ra,
55,2,49,2:49,False,20,8,0,alif_lam_qamariah|ghunnah|idgham_bighunnah|idgham_mimi|idgham_mutajanisain|idgham_mutamatsilain|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tarqiq_ra,
56,2,50,2:50,True,20,3,0,alif_lam_qamariah|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tafkhim_ra|tarqiq_ra,
57,2,51,2:51,True,16,1,0,alif_lam_qamariah|ghunnah|idgham_bighunnah|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tafkhim_ra,
58,2,52,2:52,True,10,1,0,ghunnah|idgham_mimi|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra,
59,2,53,2:53,True,10,1,0,alif_lam_qamariah|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra,
60,2,54,2:54,False,31,10,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|idgham_bighunnah|idgham_bilaghunnah|idgham_mutajanisain|ikhfa_haqiqi|ikhfa_syafawi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tarqiq_ra,
61,2,55,2:55,True,18,0,0,alif_lam_syamsiah|ghunnah|idgham_bighunnah|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|tafkhim_lam_jalalah|tafkhim_ra,
62,2,56,2:56,True,10,1,0,ghunnah|idgham_mimi|idgham_mutajanisain|idgham_mutamatsilain|izhar_syafawi|mad_aridh_lissukun|mad_lazim_mukhaffaf|tafkhim_ra,
63,2,57,2:57,False,14,10,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|ikhfa_haqiqi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal,
64,2,58,2:58,False,26,7,0,alif_lam_qamariah|ghunnah|idgham_bighunnah|idgham_mutajanisain|idgham_mutaqaribain|izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra|tarqiq_ra,
65,2,59,2:59,True,26,2,0,alif_lam_syamsiah|ghunnah|idgham_bighunnah|idgham_mutamatsilain|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra|tarqiq_ra,
66,2,60,2:60,False,17,18,0,alif_lam_qamariah|idgham_mutamatsilain|ikhfa_haqiqi|izhar_halqi|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra|tarqiq_ra,
67,2,61,2:61,False,43,2,0,ghunnah|idgham_bighunnah|idgham_mimi|idgham_mutajanisain|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra|tarqiq_ra,TajwidAnnotationError: Render segment index 58 dimulai dengan combining mark.
68,2,62,2:62,True,36,3,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra|tarqiq_lam_jalalah|tarqiq_ra,
69,2,63,2:63,True,22,3,0,alif_lam_syamsiah|idgham_bighunnah|idgham_mutajanisain|ikhfa_syafawi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|tafkhim_ra,
70,2,64,2:64,True,17,3,0,alif_lam_qamariah|ghunnah|idgham_bilaghunnah|idgham_mimi|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|tafkhim_lam_jalalah|tafkhim_ra|tarqiq_ra,
